,month,cat,predicted units,predicted sales,hk 2021-2023 sale,top demand account,customer,business channel,department
487,2023-10,COL,119,10228,3840686.01,902760,Turn 5 Inc,B2B,performance
489,2023-10,OEC,2822,142115,1594007689.19,903670,Factory Motor Parts,WD,WD
491,2023-10,ESP,641,17697,158764905.62,903670,Factory Motor Parts,WD,WD
492,2023-10,NXT,7439,184102,1002190007.74,903580,Parts Authority,WD,WD
495,2023-10,PST,222,16056,94581283.8,903670,Factory Motor Parts,WD,WD
496,2023-10,SHS,11659,213848,1545172204.99,903670,Factory Motor Parts,WD,WD
498,2023-10,Z16,11922,271553,2650234635.87,903580,Parts Authority,WD,WD
499,2023-10,Z17,195220,4491288,17227474102.64,903670,Factory Motor Parts,WD,WD
500,2023-10,Z23,12467,489124,1826978746.87,903670,Factory Motor Parts,WD,WD
501,2023-10,Z26,5867,304146,617743510.47,903670,Factory Motor Parts,WD,WD
502,2023-10,Z36,40036,1746448,2830528328.65,903670,Factory Motor Parts,WD,WD
503,2023-10,Z37,1765,73457,208083238.28,903670,Factory Motor Parts,WD,WD
506,2023-10,C36,1615,854849,461130720.68,900066,Amazon,B2B,performance
507,2023-10,CRK,6306,953453,1054127473.62,900066,Amazon,B2B,performance
508,2023-10,DBU,38,28386,14130145.74,900066,Amazon,B2B,performance
510,2023-10,ESK,324,47573,196313381.83,903670,Factory Motor Parts,WD,WD
515,2023-10,K26,3593,914179,1390169003.06,900003OH,Summit Racing,B2B,performance
516,2023-10,K36,13663,3910687,2717213177.05,900066,Amazon,B2B,performance
520,2023-10,KIT,19222,4494202,5713813086.4,900066,Amazon,B2B,performance
524,2023-10,OEK,36458,4428814,3800050074.23,900066,Amazon,B2B,performance
527,2023-10,TDK,42,5482,11982265.790000001,903670,Factory Motor Parts,WD,WD
528,2023-10,TDS,26,3811,20337270.790000003,903980,Parts Authority,WD,WD
531,2023-10,DSL,11111,1475115,3159320413.06,903670,Factory Motor Parts,WD,WD
533,2023-10,EVC,80181,3701482,10163241965.35,900120,TPH Holdings,WD,WD
538,2023-10,RTR,9608,361199,3632347374.5,900120,TPH Holdings,WD,WD
539,2023-10,SCR,9377,322045,351980464.71999997,900120,TPH Holdings,WD,WD
544,2023-10,BRG,3100,93306,8736139.95,902830,Car Parts Warehouse,WD,WD
546,2023-10,DRM,148,8196,81654738.36,903670,Factory Motor Parts,WD,WD
548,2023-10,HDW,21968,22883,1923421.39,903670,Factory Motor Parts,WD,WD
552,2023-10,PBK,612,2985,16349008.49,900003OH,Summit Racing,B2B,performance
553,2023-10,PRO,1157,440,1489520.43,903580,Parts Authority,WD,WD
554,2023-10,SBH,762,68580,130057049.91,903670,Factory Motor Parts,WD,WD
555,2023-10,SEN,4294,34773,619012195.13,903670,Factory Motor Parts,WD,WD
567,2023-11,CAL,5477,762628,1917588685.86,900003OH,Summit Racing,B2B,performance
568,2023-11,COL,114,9945,3840686.01,902760,Turn 5 Inc,B2B,performance
570,2023-11,OEC,2926,144184,1594007689.19,903670,Factory Motor Parts,WD,WD
572,2023-11,ESP,617,17157,158764905.62,903670,Factory Motor Parts,WD,WD
573,2023-11,NXT,6880,170230,1002190007.74,903580,Parts Authority,WD,WD
576,2023-11,PST,322,23530,94581283.8,903670,Factory Motor Parts,WD,WD
577,2023-11,SHS,9320,168323,1545172204.99,903670,Factory Motor Parts,WD,WD
579,2023-11,Z16,8594,195069,2650234635.87,903580,Parts Authority,WD,WD
580,2023-11,Z17,170926,3925487,17227474102.64,903670,Factory Motor Parts,WD,WD
581,2023-11,Z23,12800,500285,1826978746.87,903670,Factory Motor Parts,WD,WD
582,2023-11,Z26,6439,327263,617743510.47,903670,Factory Motor Parts,WD,WD
583,2023-11,Z36,29421,1292158,2830528328.65,903670,Factory Motor Parts,WD,WD
584,2023-11,Z37,1908,78960,208083238.28,903670,Factory Motor Parts,WD,WD
587,2023-11,C36,1199,646729,461130720.68,900066,Amazon,B2B,performance
588,2023-11,CRK,4744,715584,1054127473.62,900066,Amazon,B2B,performance
589,2023-11,DBU,103,75197,14130145.74,900066,Amazon,B2B,performance
591,2023-11,ESK,351,54313,196313381.83,903670,Factory Motor Parts,WD,WD
596,2023-11,K26,2898,721807,1390169003.06,900003OH,Summit Racing,B2B,performance
597,2023-11,K36,9005,2578457,2717213177.05,900066,Amazon,B2B,performance
601,2023-11,KIT,14666,3416637,5713813086.4,900066,Amazon,B2B,performance
605,2023-11,OEK,27947,3410280,3800050074.23,900066,Amazon,B2B,performance
608,2023-11,TDK,51,6506,11982265.790000001,903670,Factory Motor Parts,WD,WD
609,2023-11,TDS,15,2122,20337270.790000003,903980,Parts Authority,WD,WD
612,2023-11,DSL,8702,1153077,3159320413.06,903670,Factory Motor Parts,WD,WD
614,2023-11,EVC,65698,3120738,10163241965.35,900120,TPH Holdings,WD,WD
616,2023-11,MVD,20023,553309,119906031.42,900751,Mavis Tire Supply  Corp,WD,WD
619,2023-11,RTR,11746,431125,3632347374.5,900120,TPH Holdings,WD,WD
