STORE,REF,CUSTOMER,ITEM,LOCATION,SHORT DATE,SHORT REPLEN DATE,ORDER AGE IN DAYS,VALUE,item status
BP,108656931,Turn14 Distribution,BH00116                         ,B257F                           ,2023-09-28,,37,667.85,oos?
BP,108659455,Jegs,JBR1790XL                       ,P202E                           ,2023-09-29,2023-08-02,45,171.42,replenished
BP,108659455,Jegs,JBR1790XR                       ,P202E                           ,2023-09-29,,45,171.42,oos?
BP,108659363,Turn14 Distribution,JBR1790XL                       ,P202E                           ,2023-09-29,,46,169.5,oos?
BP,108659274,Summit Racing,S5168                           ,S332B                           ,2023-09-29,,46,186.48,oos?
BP,108659051,Summit Racing,S4606A                          ,S252F                           ,2023-09-29,,47,110.98,oos?
BP,108659050,Summit Racing,S4606A                          ,S252F                           ,2023-09-29,,49,110.98,oos?
BP,108659063,Jegs,S4390                           ,S303F                           ,2023-09-29,,60,100.72,oos?
BP,108657667,Turn14 Distribution,BH00116                         ,B257F                           ,2023-09-28,,66,91.37,oos?
BP,108658697,Turn 5 Inc,AR8144XL                        ,H031A                           ,2023-09-29,,70,97.84,oos?
BP,108658697,Turn 5 Inc,AR8145XR                        ,H031A                           ,2023-09-29,,70,97.84,oos?
BP,108657591,Turn 5 Inc,BH00116                         ,B257F                           ,2023-09-28,,70,68.18,oos?
BP,108657592,Turn 5 Inc,BH00116                         ,B257F                           ,2023-09-28,,70,68.18,oos?
BP,108659066,Jegs,S6992                           ,T061C                           ,2023-09-29,,78,214.48,oos?
BP,108652059,Turn14 Distribution,Z23-1707                        ,M512A                           ,2023-09-26,,85,1121.86,oos?
BP,108652059,Turn14 Distribution,Z23-2176                        ,M282F                           ,2023-09-26,,85,1121.86,oos?
BP,108659072,Jegs,S3194                           ,S271B                           ,2023-09-29,,90,193.48,oos?
BP,108659048,Turn14 Distribution,S2580                           ,S322A                           ,2023-09-29,,92,293.19,oos?
BP,108659045,Summit Racing,AR82203EVC                      ,U341B                           ,2023-09-29,,94,68.21,oos?
BP,108657511,Turn14 Distribution,Z23-2176                        ,M282F                           ,2023-09-28,,94,190.98,oos?
BP,108659064,Jegs,S4390                           ,S303F                           ,2023-09-29,,94,100.72,oos?
BP,108656616,Turn14 Distribution,BH00163                         ,B259D                           ,2023-09-28,,103,122.22,oos?
BP,108659070,Jegs,S5284                           ,T051F                           ,2023-09-29,,107,283.66,oos?
BP,108658891,Turn 5 Inc,BH00116                         ,B257F                           ,2023-09-29,,108,105.13,oos?
BP,108658888,Turn 5 Inc,BH00116                         ,B257F                           ,2023-09-29,,111,72.97,oos?
BP,108651770,Turn14 Distribution,BH00127                         ,B257H                           ,2023-09-26,,134,61.6,oos?
BP,108657671,Turn 5 Inc,S5396YLW                        ,S163C                           ,2023-09-28,,153,355.98,oos?
BP,108657671,Turn 5 Inc,S5404YLW                        ,S163D                           ,2023-09-28,,153,355.98,oos?
BP,108660140,Summit Racing,JBR1127EVC                      ,P061B                           ,2023-09-29,,156,119.41,oos?
BP,108657515,Turn14 Distribution,BH00067                         ,B254L                           ,2023-09-28,,162,180.98,oos?
BP,108657514,Turn14 Distribution,BH00067                         ,B254L                           ,2023-09-28,,162,180.98,oos?
